gene_name	KO	thrshld	score	E-value KO definition
8478_0:000000	K07962	331.17	602.6	2.3e-181 ADP-ribosylation factor-like protein 13B
8478_0:000001	K12190	72.4	657.2	2.1e-197 ESCRT-II complex subunit VPS36
8478_0:000002	K23593	2095.13	2307.8	0 alpha-2-macroglobulin-like protein
8478_0:000005	K05507	82.6	134.3	1.5e-39 C motif chemokine
8478_0:000007	K03902	1856.53	2668.7	0 coagulation factor V (labile factor)
8478_0:000008	K16791	915.27	1077.6	0 mothers against decapentaplegic homolog 9
8478_0:000009	K16910	955.2	3843.2	0 receptor-type tyrosine-protein phosphatase Q [EC:3.1.3.48]
8478_0:00000b	K23857	75.2	363.2	8.8e-109 pleckstrin homology domain-containing family B
8478_0:00000c	K23532	750	915.2	1e-275 WD repeat and FYVE domain-containing protein 2
8478_0:00000f	K09228	360.37	403.4	1.3e-120 KRAB domain-containing zinc finger protein
8478_0:00000f	K09191	325.1	372.7	2.6e-111 general transcription factor IIIA
8478_0:000010	K14324	39.57	268.7	2.1e-80 histone deacetylase complex subunit SAP18
8478_0:000012	K06556	152.17	236.8	2.2e-70 CD200 antigen
8478_0:000014	K08487	283.23	427.7	1.9e-128 syntaxin 11
8478_0:000017	K04153	422.93	456.4	6.1e-137 5-hydroxytryptamine receptor 1
8478_0:000018	K08211	510.2	1014.4	0 MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 15
8478_0:000019	K16482	325.17	754.8	3.3e-227 centriolar protein POC1
8478_0:00001a	K12000	718.63	732.2	2.8e-220 tripartite motif-containing protein 7
8478_0:00001b	K04315	571.27	650.9	5.4e-196 G protein-coupled receptor 12
8478_0:00001c	K08123	534.07	695.2	1.8e-209 keratocan
8478_0:00001c	K08122	451.67	664.3	1.4e-199 lumican
8478_0:00001d	K11517	488.07	623.5	1.7e-187 (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
8478_0:00001e	K08464	362.17	891.4	3e-268 adhesion G-protein coupled receptor G7
8478_0:00001f	K24224	232.8	2222.4	0 cilia- and flagella-associated protein 44
8478_0:000020	K07767	446.37	709.7	2.1e-213 katanin p60 ATPase-containing subunit A1 [EC:5.6.1.1]
8478_0:000021	K04257	107.23	463.1	6.1e-139 olfactory receptor
8478_0:000024	K23445	717.2	794.7	1.9e-239 calsequestrin 2
8478_0:000025	K20793	114.07	337.8	2.5e-101 N-alpha-acetyltransferase 50 [EC:2.3.1.258 2.3.1.309]
8478_0:000026	K23893	61.53	198.2	1.1e-58 LHFPL tetraspan subfamily member protein
8478_0:000027	K21969	358.83	633.5	9.3e-191 tRNA (cytosine34-C5)-methyltransferase [EC:2.1.1.-]
8478_0:000028	K06729	471.7	1595	0 prostaglandin F2 receptor negative regulator
8478_0:000029	K20632	206.3	1628.5	0 deleted in liver cancer protein
8478_0:00002a	K05096	1360.83	1737	0 FMS-like tyrosine kinase 1 [EC:2.7.10.1]
8478_0:00002b	K11494	226.97	1019.1	0 RCC1 and BTB domain-containing protein
8478_0:00002c	K21668	114.4	263.2	3.3e-78 cell surface glycoprotein CD200 receptor
8478_0:00002e	K09364	373.73	643.3	4.3e-193 POU domain transcription factor, class 2
8478_0:00002f	K08409	541.57	701.8	1.8e-211 G protein-coupled receptor 45
8478_0:000032	K07989	174.9	238.9	3.2e-71 SH2 domain-containing protein 1B
8478_0:000033	K12793	643.2	960.9	3.4e-289 TAK1-binding protein 3
8478_0:000034	K12000	718.63	739.2	2.1e-222 tripartite motif-containing protein 7
8478_0:000036	K14242	345.93	869.7	9.8e-262 NF-kappa-B inhibitor zeta
8478_0:000037	K24790	937.7	1368.4	0 periostin
8478_0:000038	K17634	1069.93	1336.7	0 RAS protein activator-like 3
8478_0:000039	K05190	474.97	820	4.6e-247 gamma-aminobutyric acid receptor subunit rho
8478_0:00003a	K17768	161.5	901.2	1.8e-271 mitochondrial import receptor subunit TOM70
8478_0:00003b	K26108	61.93	235.9	4.4e-70 regulator of cell cycle RGCC
8478_0:00003d	K03574	71.6	102.1	1.9e-29 8-oxo-dGTP diphosphatase [EC:3.6.1.55]
8478_0:00003e	K20282	441.77	1848.9	0 GRIP and coiled-coil domain-containing protein 2
8478_0:00003f	K16350	107.67	291.8	4.6e-87 T-cell immunoreceptor with Ig and ITIM domains
8478_0:000040	K18079	456.77	1016.9	0 PTEN homologous phosphatase
8478_0:000042	K07621	431.57	461.6	1.1e-138 gap junction beta-2 protein
8478_0:000043	K12000	718.63	731.8	3.8e-220 tripartite motif-containing protein 7
8478_0:000044	K15106	304.8	607.8	2.8e-183 solute carrier family 25 (mitochondrial carrier), member 14/30
8478_0:000045	K09228	360.37	894.6	3.8e-269 KRAB domain-containing zinc finger protein
8478_0:000045	K09191	325.1	374.2	9.2e-112 general transcription factor IIIA
8478_0:000046	K05235	84.83	297.8	3.5e-89 neurotensin
8478_0:000049	K04323	422.4	493.5	3.5e-148 cysteinyl leukotriene receptor 2
8478_0:00004b	K17347	179.63	419.2	7e-126 uroplakin-1
8478_0:00004d	K00451	47.1	868.5	9.2e-262 homogentisate 1,2-dioxygenase [EC:1.13.11.5]
8478_0:00004e	K07612	476.93	555.7	3.8e-167 gap junction alpha-3 protein
8478_0:000050	K01539	1701.7	1994.4	0 sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
8478_0:000051	K20020	1055.83	1925.8	0 brother of CDO
8478_0:000052	K06522	748.23	1618.1	0 immunoglobulin superfamily, member 2/3
8478_0:000053	K22139	109.03	218.4	4.4e-65 mitochondrial pyruvate carrier 2
8478_0:000054	K10182	785.4	1200.2	0 T-box protein 15
8478_0:000055	K22855	83.07	388.4	1.1e-116 EEF1A lysine methyltransferase 1 [EC:2.1.1.-]
8478_0:000056	K22070	186.2	306.5	2.4e-91 ferredoxin-1, mitochondrial
8478_0:000057	K11267	200.13	1792.8	0 sister chromatid cohesion protein PDS5
8478_0:000058	K27804	167.83	3784.1	0 furry protein family
8478_0:000059	K10692	405.27	1068.4	0 ligand of Numb protein X 1/2 [EC:2.3.2.27]
8478_0:00005a	K23424	157.4	721.4	1.2e-216 protein O-mannosyl-transferase [EC:2.4.1.-]
8478_0:00005b	K26226	325.57	1982.9	0 liprin-alpha
8478_0:00005d	K03844	151.57	881	2.9e-265 alpha-1,2-mannosyltransferase [EC:2.4.1.131]
8478_0:00005e	K11547	113.2	528.7	1.5e-158 kinetochore protein NDC80
8478_0:00005f	K25948	580.2	1049.2	0 protein associated with UVRAG as autophagy enhancer
8478_0:000060	K08272	82.7	632.5	2.5e-190 calcium binding protein 39
8478_0:000061	K09856	142.13	488.9	1.1e-146 Ras association domain-containing protein 9/10
8478_0:000062	K08791	750.8	1330.2	0 serine/threonine-protein kinase LATS1/2 [EC:2.7.11.1]
8478_0:000063	K01908	746.63	1156.9	0 propionyl-CoA synthetase [EC:6.2.1.17]
8478_0:000065	K06547	415.77	906.8	3e-273 activated leukocyte cell adhesion molecule
8478_0:000066	K25533	364.53	2993	0 sperm-associated antigen 17
8478_0:000067	K18177	32.23	129.1	1.3e-37 cytochrome c oxidase assembly factor 4
8478_0:00006a	K14395	232.4	626.2	1.9e-188 lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]
8478_0:00006b	K24485	505.53	1684	0 fibronectin type III domain-containing protein 3
8478_0:00006e	K23403	122.67	452.2	1.4e-135 spermatid-associated protein
8478_0:00006f	K06453	82.67	309.2	1.7e-92 CD3Z antigen, zeta polypeptide
8478_0:000071	K17686	809.47	1369.1	0 P-type Cu+ transporter [EC:7.2.2.8]
8478_0:000072	K25030	1164.53	2529.8	0 otogelin
8478_0:000073	K04638	105.17	847.5	3.8e-255 intraflagellar transport protein 57
8478_0:000074	K05762	1144.03	1226.5	0 radixin
8478_0:000075	K07594	186.9	435.3	1.3e-130 insulin promoter factor 1
8478_0:000077	K24993	771.3	1153.5	0 paraspeckle component 1
8478_0:000078	K12357	259.43	616.7	1.3e-185 sialidase-2/3/4 [EC:3.2.1.18]
8478_0:000079	K19926	339.67	549	9.2e-165 zona pellucida sperm-binding protein 1
8478_0:00007c	K20873	571.93	937.1	3.4e-282 serine/threonine-protein kinase Nek3 [EC:2.7.11.1]
8478_0:00007d	K04257	107.23	492.4	7.8e-148 olfactory receptor
8478_0:00007e	K20092	799.93	1508.9	0 chromodomain-helicase-DNA-binding protein 1-like [EC:5.6.2.-]
8478_0:00007f	K09382	327.3	599	5e-180 paired box protein 1/9
8478_0:000081	K04358	176.83	264	1.2e-78 fibroblast growth factor
8478_0:000082	K02889	35.53	379.4	5.9e-114 large subunit ribosomal protein L21e
8478_0:000084	K19931	109.63	398.8	3e-119 protein lin-7
8478_0:000085	K24477	691.93	1131.4	0 target of Nesh-SH3
8478_0:000087	K04257	107.23	431.5	2.3e-129 olfactory receptor
8478_0:000088	K12021	378.03	639.9	2.7e-192 tripartite motif-containing protein 45
8478_0:000088	K06747	194.77	463.3	3.4e-139 immune costimulatory protein B7-H4
8478_0:000089	K01867	137.57	432.5	1.2e-129 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
8478_0:00008a	K12947	55.57	444	3.9e-133 signal peptidase complex subunit 2 [EC:3.4.-.-]
8478_0:00008b	K25203	512.77	1962.9	0 exportin-4
8478_0:00008c	K22909	95.73	527.1	9.6e-158 zinc finger CCCH domain-containing protein 13
8478_0:00008d	K22517	1201.27	1894.4	0 E3 ubiquitin-protein ligase CBL-B [EC:2.3.2.27]
8478_0:00008e	K03158	277.4	452.2	1.7e-135 tumor necrosis factor receptor superfamily member 1A
8478_0:00008f	K07625	456.47	493.1	9.4e-149 gap junction beta-6 protein
8478_0:00008f	K07621	431.57	482.2	6.1e-145 gap junction beta-2 protein
8478_0:000090	K23311	151.03	1582.9	0 CST complex subunit CTC1
8478_0:000091	K18484	279.97	318.7	3e-95 myogenic factor 5
8478_0:000093	K05266	538.77	649.5	3e-195 motilin receptor
8478_0:000095	K16499	1075.9	1289.1	0 protocadherin delta 2
8478_0:000096	K04257	107.23	455.3	1.4e-136 olfactory receptor
8478_0:000097	K27315	211.03	484.6	1.1e-145 myelin protein zero-like protein 1
8478_0:000098	K21946	667.03	740.2	3.4e-223 dual specificity phosphatase 6 [EC:3.1.3.16 3.1.3.48]
8478_0:000098	K04459	312.7	372	2.2e-111 dual specificity MAP kinase phosphatase [EC:3.1.3.16 3.1.3.48]
8478_0:00009a	K13566	278.7	550.3	1.5e-165 omega-amidase [EC:3.5.1.3]
8478_0:00009b	K03139	60.5	461.4	1.5e-138 transcription initiation factor TFIIF subunit beta [EC:5.6.2.-]
8478_0:00009c	K18405	275.4	699.6	5.7e-210 tudor domain-containing protein 1/4/6/7
8478_0:00009d	K09228	360.37	1337.3	0 KRAB domain-containing zinc finger protein
8478_0:00009d	K09191	325.1	337.3	1.3e-100 general transcription factor IIIA
8478_0:00009e	K12859	68.1	121.4	2.1e-35 U5 snRNP protein, DIM1 family
8478_0:0000a0	K13748	457.8	880.1	9.4e-265 alpha-1,3-mannosylglycoprotein beta-1,4-N-acetylglucosaminyltransferase C [EC:2.4.1.201 2.4.1.145]
8478_0:0000a1	K09228	360.37	949.5	9.2e-286 KRAB domain-containing zinc finger protein
8478_0:0000a1	K09191	325.1	331.9	5.6e-99 general transcription factor IIIA
