gene_name	KO	thrshld	score	E-value KO definition
1415176_0:000000	K04257	107.23	298.4	5.6e-89 olfactory receptor
1415176_0:000003	K04257	107.23	461.9	1.4e-138 olfactory receptor
1415176_0:000004	K04257	107.23	455.7	1.1e-136 olfactory receptor
1415176_0:00000a	K04257	107.23	481.5	1.6e-144 olfactory receptor
1415176_0:00000b	K04257	107.23	427.9	3e-128 olfactory receptor
1415176_0:00000c	K20899	295.2	548.1	2.4e-164 guanylate-binding protein 1/3/4/7
1415176_0:000011	K04257	107.23	456.1	7.9e-137 olfactory receptor
1415176_0:000013	K05854	885.5	1019.4	0 tyrosine-protein kinase Lyn [EC:2.7.10.2]
1415176_0:000015	K14292	72.53	631	1.4e-189 trimethylguanosine synthase [EC:2.1.1.-]
1415176_0:000017	K04183	491.03	569.4	1.6e-171 C-C chemokine receptor type 8
1415176_0:000018	K04257	107.23	464	3.4e-139 olfactory receptor
1415176_0:000019	K04257	107.23	403.5	7.1e-121 olfactory receptor
1415176_0:00001a	K04257	107.23	461.7	1.6e-138 olfactory receptor
1415176_0:00001b	K04257	107.23	377.6	5.2e-113 olfactory receptor
1415176_0:00001c	K09228	360.37	473.7	7.3e-142 KRAB domain-containing zinc finger protein
1415176_0:00001d	K09228	360.37	473.7	7.3e-142 KRAB domain-containing zinc finger protein
1415176_0:00001e	K17527	62.27	299.8	1.8e-89 intelectin
1415176_0:000020	K04698	486.27	540.7	3.5e-162 suppressor of cytokine signaling 5
1415176_0:000021	K04698	486.27	540.7	3.5e-162 suppressor of cytokine signaling 5
1415176_0:000026	K17310	43.53	201.7	8.2e-60 serum amyloid A protein
1415176_0:000027	K16472	53.9	241	1.6e-71 hydrolethalus syndrome protein 1
1415176_0:000029	K04257	107.23	419.4	1.1e-125 olfactory receptor
1415176_0:00002a	K04257	107.23	272.1	5.2e-81 olfactory receptor
1415176_0:00002b	K06758	1474.27	2098.3	0 L1 cell adhesion molecule like protein
1415176_0:00002c	K11793	159.27	638.5	6.4e-192 cereblon
1415176_0:00002d	K03729	448.67	808.1	3.9e-243 class B basic helix-loop-helix protein 2
1415176_0:00002e	K13444	378.37	576.5	3.5e-173 formylglycine-generating enzyme [EC:1.8.3.7]
1415176_0:00002f	K24492	396.77	1045.2	0 leucine-rich repeat neuronal protein 1/2/3
1415176_0:000030	K06761	1322.07	1400	0 contactin 3/4/5/6
1415176_0:000031	K00974	270.9	330.8	9.2e-99 tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
1415176_0:000032	K10084	657.77	854.4	2.2e-257 ER degradation enhancer, mannosidase alpha-like 1
1415176_0:000033	K13444	378.37	504	3.3e-151 formylglycine-generating enzyme [EC:1.8.3.7]
1415176_0:000034	K06761	1322.07	1615.5	0 contactin 3/4/5/6
1415176_0:000035	K05067	270.7	700.5	6.4e-211 interleukin 5 receptor alpha
1415176_0:000037	K15682	796.7	1098.9	0 ligand of Numb protein X 3/4 [EC:2.3.2.27]
1415176_0:000038	K04958	4369.4	5142.8	0 inositol 1,4,5-triphosphate receptor type 1
1415176_0:000039	K07955	171.63	429.4	2.4e-129 ADP-ribosylation factor-like protein 8
