gene_name	KO	thrshld	score	E-value KO definition
13735_0:000000	K19977	303	332.3	1.9e-99 ADP-ribosyltransferase 5 [EC:2.4.2.31]
13735_0:000001	K19977	303	375.7	1.2e-112 ADP-ribosyltransferase 5 [EC:2.4.2.31]
13735_0:000002	K19977	303	360.5	5.4e-108 ADP-ribosyltransferase 5 [EC:2.4.2.31]
13735_0:000003	K19977	303	377.2	4.5e-113 ADP-ribosyltransferase 5 [EC:2.4.2.31]
13735_0:000006	K06712	262.2	372.6	1.9e-111 butyrophilin
13735_0:000007	K04257	107.23	273.9	1.4e-81 olfactory receptor
13735_0:00000b	K14480	110	208.5	1.2e-61 apolipoprotein L
13735_0:00000c	K14455	685.93	904.8	3.7e-272 aspartate aminotransferase, mitochondrial [EC:2.6.1.1]
13735_0:00000e	K01874	141.53	262	6.6e-78 methionyl-tRNA synthetase [EC:6.1.1.10]
13735_0:00000f	K04452	83.7	156.8	4.6e-46 DNA damage-inducible transcript 3
13735_0:000010	K09562	167.17	377.3	6.4e-113 hsp70-interacting protein
13735_0:000011	K25605	60.73	119.8	1.1e-34 B-cell CLL/lymphoma 7 protein
13735_0:000015	K23697	87.27	160.7	5.3e-47 SH2 domain-containing adapter protein B/D/E/F
13735_0:000016	K10582	90.4	570.4	2.2e-171 ubiquitin-conjugating enzyme E2 Q [EC:2.3.2.23]
13735_0:000017	K12968	678.1	1706.1	0 double-stranded RNA-specific adenosine deaminase [EC:3.5.4.37]
13735_0:00001a	K25376	255.63	654.2	9.4e-197 BPI fold-containing family B
13735_0:00001b	K10436	199.5	399.4	8.8e-120 microtubule-associated protein, RP/EB family
13735_0:00001c	K25376	255.63	432.6	1.2e-129 BPI fold-containing family B
13735_0:00001f	K24747	518.8	635	1.2e-190 WD repeat-containing protein 49
13735_0:000022	K02886	163.03	285.8	3.9e-85 large subunit ribosomal protein L2
13735_0:000023	K10407	192.2	1091.6	0 kinesin light chain
13735_0:000028	K23901	443.1	545.5	8e-164 calumenin
13735_0:000028	K13974	34.57	44.6	8.3e-12 calcium-binding protein
13735_0:00002b	K07378	540.1	786	2e-236 neuroligin
13735_0:00002c	K18271	104.77	369.7	4.4e-111 retinol-binding protein 4
13735_0:00002f	K23603	87.5	96.8	1e-27 serine protease inhibitor Kazal-type 6/7/9
13735_0:000030	K23615	217.37	459.3	1.1e-137 ovoinhibitor
13735_0:000030	K23603	87.5	87.5	7.2e-25 serine protease inhibitor Kazal-type 6/7/9
13735_0:000031	K23603	87.5	122.5	1.4e-35 serine protease inhibitor Kazal-type 6/7/9
13735_0:000032	K23420	112	131.4	1.8e-38 serine protease inhibitor Kazal-type 5
13735_0:000033	K06709	412	1364.8	0 [histone H3]-trimethyl-L-lysine9/36 demethylase [EC:1.14.11.66 1.14.11.69]
13735_0:000035	K23488	631.27	1159.5	0 Ras-associated and pleckstrin homology domains-containing protein 1
13735_0:000037	K14717	267.2	383	1.1e-114 solute carrier family 39 (zinc transporter), member 11
13735_0:000037	K07238	123.03	161.2	2e-47 zinc transporter, ZIP family
13735_0:000038	K04257	107.23	410.3	6.1e-123 olfactory receptor
13735_0:000039	K04257	107.23	373.4	9.8e-112 olfactory receptor
13735_0:00003a	K04257	107.23	441.8	1.8e-132 olfactory receptor
13735_0:00003b	K04257	107.23	438.7	1.6e-131 olfactory receptor
13735_0:00003c	K04257	107.23	286.9	1.7e-85 olfactory receptor
13735_0:00003d	K04257	107.23	395.3	2.3e-118 olfactory receptor
13735_0:00003e	K04257	107.23	267.8	1.1e-79 olfactory receptor
13735_0:00003f	K04257	107.23	715.7	1.5e-215 olfactory receptor
13735_0:000040	K04257	107.23	277.1	1.5e-82 olfactory receptor
13735_0:000041	K04257	107.23	266.8	2.1e-79 olfactory receptor
13735_0:000042	K04257	107.23	280.3	1.7e-83 olfactory receptor
13735_0:000043	K04257	107.23	268.9	4.7e-80 olfactory receptor
13735_0:000044	K04257	107.23	266.6	2.5e-79 olfactory receptor
13735_0:000045	K04257	107.23	284.1	1.2e-84 olfactory receptor
13735_0:000046	K04257	107.23	251.2	1.1e-74 olfactory receptor
13735_0:000047	K04257	107.23	253.8	1.8e-75 olfactory receptor
13735_0:000048	K02949	149.87	379.7	4.3e-114 small subunit ribosomal protein S11e
13735_0:00004a	K04257	107.23	244.9	8.9e-73 olfactory receptor
13735_0:00004b	K04257	107.23	286.9	1.7e-85 olfactory receptor
13735_0:00004c	K04257	107.23	278.4	6.4e-83 olfactory receptor
13735_0:00004d	K04257	107.23	273.6	1.8e-81 olfactory receptor
13735_0:000050	K04257	107.23	314.1	9.7e-94 olfactory receptor
13735_0:000052	K04257	107.23	176.2	6.5e-52 olfactory receptor
13735_0:000053	K04328	446	477.3	2.9e-143 free fatty acid receptor 2
13735_0:000054	K06467	239.6	308.1	8.5e-92 CD22 antigen
13735_0:000055	K06566	62.57	71	7.5e-20 interferon induced transmembrane protein
13735_0:000056	K10705	692.83	729.7	8.1e-220 glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic [EC:1.2.1.12]
13735_0:000056	K00134	409.2	639.9	1.2e-192 glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
13735_0:000057	K07992	78.43	125	2e-36 TYRO protein tyrosine kinase binding protein
13735_0:000058	K26498	75.97	427.2	1.9e-128 BOS complex subunit TMEM147
13735_0:000059	K01542	1804.87	2237	0 H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]
13735_0:00005a	K06467	239.6	250.4	2.4e-74 CD22 antigen
13735_0:00005c	K25782	359.47	449.4	1.3e-134 immunoglobulin-like domain-containing receptor 2
13735_0:000065	K01873	581.77	1233.7	0 valyl-tRNA synthetase [EC:6.1.1.9]
13735_0:000066	K23768	102.2	122.2	1.4e-35 protein S100-A16
13735_0:000067	K03144	147.83	482.2	1.7e-144 transcription initiation factor TFIIH subunit 4
13735_0:000069	K28428	624.1	1049.9	0 proline-rich protein 12
13735_0:00006c	K14408	191.9	1215.9	0 cleavage stimulation factor subunit 3
13735_0:00006d	K25628	223.57	795.5	3e-239 T-complex protein 11
13735_0:00006f	K26502	81.03	181	8.2e-54 transmembrane protein 258
13735_0:000070	K22190	144.47	186.1	4.6e-55 membrane-spanning 4-domains subfamily A member 3/4/8/12/15/18
