"gene","distance","pval"
"100073at32523",108.529765657607,0.997460578037981
"100078at32523",30.69603715076,1
"100088at32523",935.245554075441,1.71036124933879e-112
"100098at32523",17.5940930189938,1
"1000at32523",162.258753161302,0.288795430625058
"100144at32523",22.9787286329873,1
"100151at32523",14.3837127468235,1
"100155at32523",23.5423047327328,1
"100325at32523",26.7338825285138,1
"10041at32523",637.722584405701,2.1121996584203e-60
"100516at32523",51.6090701768592,1
"100560at32523",11.7927922091674,1
"100592at32523",68.4396079275712,0.999999999651235
"100617at32523",79.0766021659402,0.999999877805019
"100624at32523",111.27595159372,0.995415976693999
"100631at32523",24.2549519713425,1
"100632at32523",92.6095765174533,0.999970012347893
"100736at32523",39.6179569280518,1
"100783at32523",619.565882955424,2.10980035197285e-57
"100796at32523",125.304563533065,0.950692219627056
"100824at32523",361.927822853778,5.67416062673667e-19
"100932at32523",33.2556854736787,1
"101012at32523",20.6811716502745,1
"101090at32523",21.6835064132998,1
"101114at32523",893.961786384039,5.2637252163987e-105
"101120at32523",25.087514849434,1
"101129at32523",16.691458152201,1
"101134at32523",25.4518029408869,1
"101164at32523",25.3211048158265,1
"101208at32523",58.6343492845683,0.999999999999692
"101216at32523",56.4184293455549,0.999999999999952
"101251at32523",17.1047334460555,1
"101303at32523",814.26011591384,9.44051567527837e-91
"10130at32523",9.21078169437198,1
"101373at32523",188.427742287273,0.0271393293608716
"101417at32523",47.7660227186408,1
"101514at32523",138.123185554936,0.799896594953223
"101524at32523",7.11435356153679,1
"101542at32523",303.992042494347,4.74113501496959e-12
"101591at32523",118.787804878888,0.981476922510595
"101655at32523",201.073901625648,0.00552662779719836
"101675at32523",203.022491020558,0.00422276320719735
"101797at32523",94.1462280530273,0.999949882475062
"101803at32523",488.60691474258,1.03313314721e-36
"101948at32523",149.493750662873,0.565053716557166
"101949at32523",557.549542372935,2.2303622766979e-47
"102110at32523",1035.83929106792,5.38422348818115e-131
"102347at32523",40.4625222474176,1
